bucket,pdf
847,2.4839166397575698E-5
848,2.4839166397575698E-5
849,2.4839166397575698E-5
850,8.279722132525233E-6
851,1.6559444265050466E-5
852,1.6559444265050466E-5
854,4.1398610662626164E-5
855,5.795805492767663E-5
856,2.4839166397575698E-5
857,4.1398610662626164E-5
858,8.279722132525233E-6
859,2.4839166397575698E-5
860,1.6559444265050466E-5
861,8.279722132525233E-6
862,2.4839166397575698E-5
863,4.1398610662626164E-5
864,3.311888853010093E-5
865,8.279722132525233E-6
867,8.279722132525233E-6
868,3.311888853010093E-5
869,4.9678332795151396E-5
870,2.4839166397575698E-5
871,2.4839166397575698E-5
872,1.6559444265050466E-5
873,4.1398610662626164E-5
875,8.279722132525233E-6
876,8.279722132525233E-6
877,5.795805492767663E-5
878,4.9678332795151396E-5
879,2.4839166397575698E-5
880,8.279722132525233E-6
881,4.1398610662626164E-5
882,4.1398610662626164E-5
883,1.6559444265050466E-5
884,8.279722132525233E-6
885,4.1398610662626164E-5
886,3.311888853010093E-5
887,3.311888853010093E-5
888,8.279722132525233E-6
889,2.4839166397575698E-5
890,1.6559444265050466E-5
891,2.4839166397575698E-5
892,3.311888853010093E-5
893,2.4839166397575698E-5
895,8.279722132525233E-6
896,1.6559444265050466E-5
897,1.6559444265050466E-5
898,4.1398610662626164E-5
899,4.9678332795151396E-5
900,3.311888853010093E-5
901,8.279722132525233E-6
902,2.4839166397575698E-5
903,8.279722132525233E-6
904,3.311888853010093E-5
905,1.6559444265050466E-5
906,2.4839166397575698E-5
907,4.1398610662626164E-5
908,3.311888853010093E-5
909,1.6559444265050466E-5
910,4.1398610662626164E-5
911,2.4839166397575698E-5
912,1.6559444265050466E-5
913,8.279722132525233E-6
914,1.6559444265050466E-5
915,4.1398610662626164E-5
916,1.6559444265050466E-5
917,2.4839166397575698E-5
918,8.279722132525233E-6
919,4.1398610662626164E-5
920,8.279722132525233E-6
921,2.4839166397575698E-5
922,8.279722132525233E-6
923,3.311888853010093E-5
924,8.279722132525233E-6
925,2.4839166397575698E-5
926,2.4839166397575698E-5
927,8.279722132525233E-6
928,8.279722132525233E-6
930,1.6559444265050466E-5
931,8.279722132525233E-6
932,2.4839166397575698E-5
933,4.1398610662626164E-5
934,8.279722132525233E-6
935,8.279722132525233E-6
936,2.4839166397575698E-5
937,8.279722132525233E-6
938,2.4839166397575698E-5
939,8.279722132525233E-6
940,2.4839166397575698E-5
942,1.6559444265050466E-5
943,2.4839166397575698E-5
944,4.1398610662626164E-5
945,2.4839166397575698E-5
946,4.9678332795151396E-5
947,1.6559444265050466E-5
948,8.279722132525233E-6
949,3.311888853010093E-5
950,8.279722132525233E-6
951,8.279722132525233E-6
954,3.311888853010093E-5
955,4.1398610662626164E-5
956,3.311888853010093E-5
957,2.4839166397575698E-5
958,6.623777706020187E-5
959,2.4839166397575698E-5
961,8.279722132525233E-6
962,3.311888853010093E-5
963,8.279722132525233E-6
965,1.6559444265050466E-5
966,8.279722132525233E-6
967,3.311888853010093E-5
968,3.311888853010093E-5
969,3.311888853010093E-5
970,1.6559444265050466E-5
971,3.311888853010093E-5
973,1.6559444265050466E-5
974,1.6559444265050466E-5
975,1.6559444265050466E-5
976,1.6559444265050466E-5
977,1.6559444265050466E-5
978,3.311888853010093E-5
979,2.4839166397575698E-5
980,1.6559444265050466E-5
981,2.4839166397575698E-5
982,4.1398610662626164E-5
983,8.279722132525233E-6
984,8.279722132525233E-6
985,1.6559444265050466E-5
987,3.311888853010093E-5
988,2.4839166397575698E-5
989,1.6559444265050466E-5
990,2.4839166397575698E-5
991,7.451749919272709E-5
992,2.4839166397575698E-5
993,1.6559444265050466E-5
994,1.6559444265050466E-5
995,2.4839166397575698E-5
996,8.279722132525233E-6
997,1.6559444265050466E-5
998,2.4839166397575698E-5
999,3.311888853010093E-5
1000,1.6559444265050466E-5
1001,2.4839166397575698E-5
1002,1.6559444265050466E-5
1003,1.6559444265050466E-5
1004,4.9678332795151396E-5
1005,3.311888853010093E-5
1006,8.279722132525233E-6
1007,1.6559444265050466E-5
1008,2.4839166397575698E-5
1009,2.4839166397575698E-5
1010,3.311888853010093E-5
1011,8.279722132525233E-6
1012,1.6559444265050466E-5
1013,3.311888853010093E-5
1014,3.311888853010093E-5
1015,1.6559444265050466E-5
1016,4.1398610662626164E-5
1017,2.4839166397575698E-5
1018,2.4839166397575698E-5
1019,3.311888853010093E-5
1020,2.4839166397575698E-5
1021,3.311888853010093E-5
1022,8.279722132525233E-6
1023,8.279722132525233E-6
1024,2.4839166397575698E-5
1025,1.6559444265050466E-5
1027,8.279722132525233E-6
1028,8.279722132525233E-6
1029,8.279722132525233E-6
1030,8.279722132525233E-6
1032,8.279722132525233E-6
1033,8.279722132525233E-6
1035,1.6559444265050466E-5
1036,8.279722132525233E-6
1039,1.6559444265050466E-5
1040,8.279722132525233E-6
1042,2.4839166397575698E-5
1043,2.4839166397575698E-5
1044,1.6559444265050466E-5
1045,1.6559444265050466E-5
1046,8.279722132525233E-6
1047,1.6559444265050466E-5
1048,4.9678332795151396E-5
1049,1.6559444265050466E-5
1050,2.4839166397575698E-5
1051,1.6559444265050466E-5
1052,8.279722132525233E-6
1053,2.4839166397575698E-5
1054,1.6559444265050466E-5
1055,1.6559444265050466E-5
1056,8.279722132525233E-6
1057,3.311888853010093E-5
1058,2.4839166397575698E-5
1059,1.6559444265050466E-5
